Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764715268,25,,Aggregated,15.900000,4.100000,80,85,90,93,110,230,270,300,310,310,310,469,99,80,90.78504435181262,58.31361699998183,314.4081700000072,75.80810234541578
1764715269,25,,Aggregated,16.300000,3.900000,80,84,90,93,100,230,270,300,310,310,310,487,105,80,90.26380981724894,58.31361699998183,314.4081700000072,75.78850102669405
1764715270,25,,Aggregated,16.000000,3.800000,80,84,90,93,100,160,270,280,310,310,310,504,109,80,89.89487941666725,58.31361699998183,314.4081700000072,75.81150793650794
1764715271,25,,Aggregated,16.200000,3.700000,80,84,90,92,100,160,270,280,310,310,310,519,116,80,89.43200952793894,57.89815200000703,314.4081700000072,75.73795761078998
1764715272,25,,Aggregated,16.300000,3.800000,80,84,90,92,100,150,270,280,310,310,310,536,120,80,89.01884729104518,57.89815200000703,314.4081700000072,75.65298507462687
1764715273,25,,Aggregated,16.500000,3.900000,80,84,89,92,100,140,270,280,310,310,310,548,124,80,88.73336249817544,57.89815200000703,314.4081700000072,75.66788321167883
1764715274,25,,Aggregated,16.200000,4.100000,80,84,89,91,100,130,260,280,310,310,310,566,127,79,88.30122595583052,57.89815200000703,314.4081700000072,75.62544169611307
1764715275,25,,Aggregated,16.200000,4.300000,79,84,89,92,100,130,260,280,310,310,310,580,131,79,88.0335158086209,57.89815200000703,314.4081700000072,75.62068965517241
1764715276,25,,Aggregated,15.900000,4.100000,79,84,88,91,100,130,260,280,310,310,310,596,138,79,87.84964830704718,57.89815200000703,314.4081700000072,75.62751677852349
1764715277,25,,Aggregated,16.200000,3.900000,79,84,88,91,100,130,260,280,310,310,310,607,143,79,87.70467104118633,57.89815200000703,314.4081700000072,75.67215815485997
1764715278,25,,Aggregated,15.700000,3.900000,79,83,88,91,100,120,260,280,310,310,310,627,147,79,87.28060179266355,57.716325000001234,314.4081700000072,75.62838915470495
1764715279,25,,Aggregated,15.800000,4.500000,79,83,88,91,100,120,260,280,310,310,310,643,150,79,86.98208249455685,57.716325000001234,314.4081700000072,75.57698289269051
1764715280,25,,Aggregated,15.200000,4.700000,79,83,88,91,100,120,260,280,310,310,310,657,152,79,86.82089961948255,57.716325000001234,314.4081700000072,75.62404870624049
1764715281,25,,Aggregated,15.800000,4.800000,79,83,88,91,100,110,260,280,310,310,310,675,157,79,86.56738213333338,57.716325000001234,314.4081700000072,75.58222222222223
1764715282,25,,Aggregated,15.300000,4.600000,79,83,88,91,99,110,260,280,310,310,310,691,159,79,86.39092759913167,57.716325000001234,314.4081700000072,75.62373371924747
1764715283,25,,Aggregated,14.900000,4.300000,79,83,88,91,99,110,260,280,310,310,310,707,160,79,86.280325059406,57.716325000001234,314.4081700000072,75.65346534653466
1764715284,25,,Aggregated,15.800000,4.100000,79,83,88,91,98,110,260,280,310,310,310,719,161,79,86.08229250069537,57.716325000001234,314.4081700000072,75.65924895688457
1764715285,25,,Aggregated,15.300000,3.800000,79,83,88,91,98,110,260,280,310,310,310,738,166,79,85.87137831978322,57.716325000001234,314.4081700000072,75.6029810298103
1764715286,25,,Aggregated,16.100000,3.600000,79,83,88,91,98,110,250,280,310,310,310,753,168,79,85.76876815139441,57.716325000001234,314.4081700000072,75.62416998671979
1764715287,25,,Aggregated,15.300000,3.400000,79,83,87,91,98,110,250,280,310,310,310,768,172,79,85.48894942578114,57.716325000001234,314.4081700000072,75.5703125
1764715288,25,,Aggregated,15.900000,3.600000,79,83,87,90,98,110,250,280,310,310,310,787,176,79,85.30119007242688,57.716325000001234,314.4081700000072,75.57687420584499
1764715289,25,,Aggregated,15.600000,3.000000,79,83,87,90,97,110,250,270,310,310,310,803,177,79,85.11577086425902,55.46150699998975,314.4081700000072,75.59402241594023
1764715290,25,,Aggregated,16.000000,2.800000,79,83,87,90,97,110,250,270,310,310,310,817,179,79,84.97381474663405,55.46150699998975,314.4081700000072,75.61811505507956
1764715291,25,,Aggregated,16.000000,2.900000,79,83,87,90,97,110,250,270,310,310,310,834,179,79,84.92585046882493,55.46150699998975,314.4081700000072,75.66187050359713
1764715292,25,,Aggregated,15.900000,2.600000,79,83,87,90,97,110,250,270,310,310,310,849,183,79,84.75415008009419,55.46150699998975,314.4081700000072,75.63839811542992
1764715293,25,,Aggregated,16.000000,2.600000,78,83,87,90,97,110,250,270,310,310,310,868,186,78,84.54301548732707,55.46150699998975,314.4081700000072,75.67511520737327
