Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dev/dev/health,392,392,4,7.471795142857517,3.597943000045234,137.75748299997304,23.0,3.293762423536364,3.293762423536364,4,4,5,5,5,14,120,130,140,140,140
POST,/dev/dev/predict,1576,0,4,6.269126870559888,3.638768999962849,166.31649199996446,23.0,13.242269335442115,0.0,4,4,5,5,5,13,16,120,160,170,170
,Aggregated,1968,392,4,6.508682745936251,3.597943000045234,166.31649199996446,23.0,16.536031758978478,3.293762423536364,4,4,5,5,5,13,17,120,160,170,170
