Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dev/health,360,0,41,45.57536992222235,34.24557499999992,213.7486029999991,71.0,3.0225249887463725,0.0,41,43,44,45,50,57,180,200,210,210,210
POST,/dev/predict,1538,0,58,62.54473803771108,47.11945899998682,235.42903699998874,78.8407022106632,12.912898424144224,0.0,58,62,67,69,75,79,89,190,230,240,240
,Aggregated,1898,0,56,59.3261013034772,34.24557499999992,235.42903699998874,77.35353003161222,15.935423412890596,0.0,56,59,63,67,74,79,90,200,230,240,240
